#{"t_start": 1718779104.6503417, "env_id": "VizdoomDefendCenter-v0"}
r,l,t0-1.0,84,15.731084
-1.0,92,15.864913
-1.0,81,15.978776
-1.0,66,16.070857
-1.0,70,16.158532
-1.0,80,16.265646
-1.0,63,16.349329
-1.0,72,16.45303
-1.0,76,16.571534
-1.0,69,16.675208
-1.0,68,31.604066
-1.0,77,31.711926
-1.0,65,31.799595
-1.0,61,31.88311
-1.0,83,32.016944
-1.0,80,32.142059
-1.0,58,32.239167
-1.0,62,32.337377
-1.0,68,32.44341
-1.0,70,32.538252
-1.0,66,47.604801
0.0,83,47.728344
-1.0,63,47.813543
-1.0,53,47.880275
-1.0,80,47.986937
-1.0,54,48.06679
-1.0,58,48.150505
-1.0,68,48.24573
-1.0,91,48.364336
-1.0,68,48.463714
-1.0,63,63.464131
-1.0,61,63.554199
0.0,93,63.705159
0.0,75,63.820553
-1.0,57,63.929865
-1.0,55,64.024989
-1.0,64,64.112056
-1.0,75,64.22737
-1.0,70,64.346624
-1.0,76,64.466835
0.0,80,83.096013
0.0,59,83.180615
0.0,70,83.276346
0.0,80,83.393854
0.0,82,83.534117
-1.0,80,83.664194
1.0,86,83.789815
-1.0,62,83.885681
-1.0,56,83.980915
0.0,75,84.091587
0.0,71,99.449082
0.0,72,99.552663
1.0,88,99.676543
0.0,81,99.80643
-1.0,92,99.942973
0.0,77,100.04692
0.0,80,100.181905
0.0,90,100.343849
0.0,86,100.489837
-1.0,74,100.606488
1.0,74,115.899632
3.0,99,116.059054
3.0,113,116.245323
1.0,78,116.357136
3.0,116,116.545697
1.0,77,116.691031
1.0,73,116.819446
1.0,85,116.965412
0.0,69,117.065958
2.0,92,117.194331
0.0,59,132.580658
3.0,121,132.72974
1.0,62,132.818881
1.0,60,132.909411
2.0,97,133.035605
1.0,82,133.143148
0.0,85,133.245825
3.0,109,133.397411
2.0,114,133.54242
3.0,115,133.687279
0.0,58,148.90731
3.0,101,149.055911
1.0,89,149.203259
0.0,69,149.305213
1.0,54,149.377882
1.0,64,149.462389
0.0,74,149.575837
4.0,121,149.729712
0.0,66,149.819481
2.0,102,149.982681
1.0,87,168.861496
1.0,66,168.9608
0.0,70,169.084874
2.0,112,169.245014
0.0,75,169.378102
1.0,94,169.529931
1.0,102,169.688461
2.0,113,169.88239
2.0,111,170.060453
2.0,99,170.244095
1.0,62,185.526715
3.0,111,185.688313
3.0,113,185.858024
2.0,110,186.005812
0.0,53,186.084242
2.0,117,186.246184
1.0,74,186.359995
1.0,73,186.458445
2.0,120,186.65851
0.0,68,186.770646
4.0,123,201.786433
1.0,63,201.869642
3.0,108,202.012326
1.0,76,202.129246
3.0,117,202.294342
2.0,72,202.402406
3.0,105,202.54591
1.0,67,202.637549
3.0,117,202.817671
0.0,61,202.897566
2.0,115,218.00013
0.0,74,218.098452
2.0,112,218.265574
1.0,74,218.393778
2.0,123,218.60259
1.0,82,218.735595
