Episodio,Puntaje
320,[-114.6138]
321,[-97.138504]
322,[-96.697815]
323,[-67.260284]
324,[-93.80835]
325,[-52.42209]
326,[-111.15935]
327,[-115.98268]
328,[-93.249054]
329,[-114.045456]
330,[-115.96835]
331,[-98.770065]
332,[-115.21373]
333,[-96.89607]
334,[-87.49425]
335,[-88.272095]
336,[-115.89497]
337,[-102.37047]
338,[-115.42253]
339,[-89.6239]
340,[-33.859253]
341,[-68.947784]
342,[-105.21852]
343,[-115.988785]
344,[-49.920105]
345,[-115.45323]
346,[-115.99158]
347,[-109.55771]
348,[-86.4875]
349,[-105.16351]
350,[-64.34369]
351,[-78.2422]
352,[-115.977234]
353,[-101.4476]
354,[-54.438583]
355,[-85.64038]
356,[-25.918625]
357,[-84.28793]
358,[-115.99223]
359,[-60.059204]
360,[-109.8472]
361,[-98.21434]
362,[-64.6281]
363,[-115.97571]
364,[-106.82207]
365,[-115.9758]
366,[-59.54834]
367,[-115.976166]
368,[-114.62715]
369,[-115.375595]
370,[-98.23021]
371,[-78.51985]
372,[-115.99226]
373,[-102.652145]
374,[-94.01543]
375,[-115.99724]
376,[-92.70531]
377,[-109.4926]
378,[-96.218445]
379,[-112.27011]
380,[-67.36267]
381,[-112.802246]
382,[-99.60762]
383,[-101.68553]
384,[-19.54712]
385,[-77.42195]
386,[-115.99159]
387,[-89.94159]
388,[-97.7052]
389,[-31.873138]
390,[-83.676956]
391,[-107.95305]
392,[-63.430237]
393,[-113.830734]
394,[-33.208176]
395,[-107.622116]
396,[-105.44447]
397,[-108.99597]
398,[185.53409]
399,[-9.459976]
400,[-90.53125]
401,[-91.114624]
402,[-77.9133]
403,[-65.791336]
404,[-84.18181]
405,[-115.9756]
406,[-114.244446]
407,[-78.9001]
408,[-100.42703]
409,[26.495514]
410,[-58.398895]
411,[-115.9756]
412,[-108.88341]
413,[-113.664536]
414,[-20.181839]
415,[-109.96692]
416,[-92.95825]
417,[-115.996445]
418,[-106.18764]
419,[-4.0670013]
420,[-29.472382]
421,[-93.98517]
422,[-113.68858]
423,[-115.996445]
424,[-6.5868073]
425,[-115.71768]
426,[-96.7776]
427,[-82.50011]
428,[-94.5117]
429,[-115.99931]
430,[-68.85104]
431,[-104.26514]
432,[-115.95439]
433,[-84.8508]
434,[-61.892807]
435,[-81.61427]
436,[-114.53757]
437,[-115.96648]
438,[-115.96123]
439,[-90.44446]
440,[-115.806015]
441,[-115.975586]
442,[-115.87016]
443,[-85.49423]
444,[-96.334015]
445,[-40.19966]
446,[-71.00955]
447,[-59.808563]
448,[-115.97922]
449,[-111.64807]
450,[-115.977875]
451,[-115.96431]
452,[-115.98959]
453,[-108.517334]
454,[-54.983414]
455,[-115.990265]
456,[-89.28288]
457,[-115.98959]
458,[-115.101456]
459,[-107.08362]
460,[-96.760086]
461,[-80.68414]
462,[-100.01546]
463,[-113.76645]
464,[-115.9756]
465,[-115.985]
466,[-106.61995]
467,[-110.3932]
468,[-115.97569]
469,[-97.61093]
470,[-53.582153]
471,[-53.064438]
472,[-26.237335]
473,[-115.93558]
474,[-73.33081]
475,[-115.9836]
476,[-71.33829]
477,[-106.01129]
478,[-83.9113]
479,[-53.336502]
480,[-109.49397]
481,[-92.09813]
482,[-114.986176]
483,[-115.975784]
484,[-115.98071]
485,[-83.54129]
486,[-48.463074]
487,[-92.0862]
488,[-115.93492]
489,[-111.58623]
490,[-94.666626]
491,[-93.56529]
492,[-99.03516]
493,[-106.99606]
494,[-115.97589]
495,[-62.52916]
496,[-75.07236]
497,[-69.145004]
498,[-73.18097]
499,[-104.514175]
500,[-103.277756]
501,[-72.91539]
502,[-115.977936]
503,[-114.33824]
504,[-114.43034]
505,[-93.13774]
506,[-52.291107]
507,[-43.654846]
508,[-73.18822]
509,[-81.17525]
510,[-111.19533]
511,[-115.9756]
512,[33.741318]
513,[-115.99713]
514,[-76.53758]
515,[-82.12489]
516,[-45.114517]
517,[-98.34271]
518,[-112.88576]
519,[-115.99716]
520,[-63.109573]
521,[-115.65782]
522,[-57.914032]
523,[-79.721664]
524,[-109.172104]
525,[-113.203476]
526,[-91.13002]
527,[-111.19823]
528,[-115.99121]
529,[-103.94829]
530,[-102.17665]
531,[-115.93501]
532,[-77.966995]
533,[-115.97781]
534,[-97.42581]
535,[-115.99716]
536,[-115.98834]
537,[-115.246185]
538,[-102.71611]
539,[-102.8987]
540,[-101.51912]
541,[-56.19644]
542,[-113.3329]
543,[-108.646515]
544,[-114.86078]
545,[-83.212006]
546,[-22.71994]
547,[-115.979355]
548,[-113.83125]
549,[-72.167404]
550,[-80.55757]
551,[-115.99713]
552,[-48.351715]
553,[-85.647354]
554,[-115.978485]
555,[-45.176743]
556,[-103.56131]
557,[-115.91243]
558,[-93.44838]
559,[-15.736938]
560,[-115.86836]
561,[-81.670395]
562,[-115.97633]
563,[-106.956604]
564,[-108.1232]
565,[-115.98073]
566,[-95.38939]
567,[-115.90788]
568,[-16.999603]
569,[-67.111206]
570,[-115.97615]
571,[-115.9756]
572,[-97.59369]
573,[-107.186554]
574,[-115.99654]
575,[-111.466324]
576,[-108.93791]
577,[-69.2267]
578,[-106.40376]
579,[-109.78465]
580,[-78.62558]
581,[-113.79193]
582,[-34.552353]
583,[-96.82506]
584,[-115.99501]
585,[324.63538]
586,[-77.53148]
587,[-112.854706]
588,[-115.9989]
589,[-95.31084]
590,[-115.21942]
591,[-71.41725]
592,[-91.1405]
593,[-83.7993]
594,[-59.81427]
595,[-115.97632]
596,[-115.99643]
597,[-115.975586]
598,[-53.50116]
599,[-79.11835]
600,[-115.99571]
601,[-59.8275]
602,[-97.01175]
603,[-19.534637]
604,[-103.82698]
605,[-113.178345]
606,[-115.99939]
607,[-100.44887]
608,[-115.97632]
609,[-100.31317]
610,[-32.686066]
611,[-93.63048]
612,[-106.43237]
613,[-73.91261]
614,[-115.90277]
615,[-103.35312]
616,[-115.93974]
617,[-27.748718]
618,[-113.70508]
619,[-115.00375]
620,[-100.49208]
621,[-115.99263]
622,[-85.85521]
623,[-70.60524]
624,[-111.6447]
625,[-90.32861]
626,[-96.23804]
627,[-107.44411]
628,[-97.88393]
629,[-112.99188]
630,[-103.86868]
631,[-73.61328]
632,[-97.12598]
633,[-112.52437]
634,[-65.35213]
635,[-98.04707]
636,[-105.207855]
637,[-115.975586]
638,[-115.98297]
639,[-105.52139]
640,[-107.474686]
641,[-115.4955]
642,[-29.499313]
643,[-71.9747]
644,[-111.5742]
645,[-115.9283]
646,[-111.6355]
647,[-114.593735]
648,[-115.99226]
649,[-83.29828]
650,[-115.98772]
651,[-99.06]
