Episodio,Puntaje
455,[868.]
456,[271.]
457,[251.]
458,[290.]
459,[951.]
460,[685.]
461,[256.]
462,[666.]
463,[622.]
464,[174.]
465,[155.]
466,[195.]
467,[521.]
468,[195.]
469,[132.]
470,[127.]
471,[148.]
472,[373.]
473,[396.]
474,[275.]
475,[527.]
476,[182.]
477,[248.]
478,[125.]
479,[587.]
480,[119.]
481,[920.]
482,[438.]
483,[532.]
484,[378.]
485,[225.]
486,[154.]
487,[470.]
488,[464.]
489,[597.]
490,[484.]
491,[228.]
492,[133.]
493,[377.]
494,[439.]
495,[236.]
496,[509.]
497,[277.]
498,[220.]
499,[588.]
500,[125.]
501,[262.]
502,[127.]
503,[517.]
504,[136.]
505,[485.]
506,[235.]
507,[417.]
508,[393.]
509,[341.]
510,[231.]
511,[604.]
512,[700.]
513,[307.]
514,[369.]
515,[309.]
516,[396.]
517,[440.]
518,[223.]
519,[293.]
520,[148.]
521,[284.]
522,[433.]
523,[317.]
524,[573.]
525,[681.]
526,[155.]
527,[553.]
528,[292.]
529,[975.]
530,[232.]
531,[217.]
532,[189.]
533,[140.]
534,[809.]
535,[346.]
536,[262.]
537,[661.]
538,[104.]
539,[516.]
540,[217.]
541,[557.]
542,[145.]
543,[257.]
544,[413.]
545,[380.]
546,[545.]
547,[175.]
548,[393.]
549,[393.]
550,[381.]
551,[258.]
552,[404.]
553,[187.]
554,[309.]
555,[518.]
556,[288.]
557,[133.]
558,[441.]
559,[262.]
560,[355.]
561,[406.]
562,[414.]
563,[571.]
564,[370.]
565,[123.]
566,[541.]
567,[325.]
568,[433.]
569,[456.]
570,[294.]
571,[190.]
572,[349.]
573,[788.]
574,[842.]
575,[433.]
576,[159.]
577,[361.]
578,[157.]
579,[562.]
580,[169.]
581,[240.]
582,[265.]
583,[357.]
584,[847.]
585,[266.]
586,[217.]
587,[504.]
588,[212.]
589,[642.]
590,[569.]
591,[236.]
592,[755.]
593,[693.]
594,[218.]
595,[194.]
596,[401.]
597,[323.]
598,[408.]
599,[361.]
600,[130.]
601,[251.]
602,[225.]
603,[400.]
604,[971.]
605,[256.]
606,[127.]
607,[640.]
608,[223.]
609,[222.]
610,[458.]
611,[893.]
612,[630.]
613,[469.]
614,[516.]
615,[325.]
616,[297.]
617,[232.]
618,[127.]
619,[849.]
620,[890.]
621,[260.]
622,[151.]
623,[758.]
624,[177.]
625,[361.]
626,[152.]
627,[184.]
628,[439.]
629,[283.]
630,[239.]
631,[326.]
632,[206.]
633,[191.]
634,[460.]
635,[230.]
636,[104.]
637,[388.]
638,[210.]
639,[319.]
640,[869.]
641,[423.]
642,[372.]
643,[224.]
644,[143.]
645,[1087.]
646,[282.]
647,[227.]
648,[308.]
649,[514.]
650,[305.]
651,[167.]
652,[289.]
653,[392.]
654,[268.]
655,[219.]
656,[132.]
657,[370.]
658,[137.]
659,[549.]
660,[205.]
661,[371.]
662,[225.]
663,[370.]
664,[285.]
665,[252.]
666,[159.]
667,[1008.]
668,[594.]
669,[523.]
670,[435.]
671,[301.]
672,[181.]
673,[159.]
674,[402.]
675,[578.]
676,[163.]
677,[311.]
678,[307.]
679,[656.]
680,[476.]
681,[364.]
682,[121.]
683,[433.]
684,[302.]
685,[222.]
686,[330.]
687,[134.]
688,[241.]
689,[215.]
690,[243.]
691,[155.]
692,[401.]
693,[509.]
694,[145.]
695,[327.]
696,[477.]
697,[305.]
698,[394.]
699,[247.]
700,[358.]
701,[508.]
702,[708.]
703,[193.]
704,[186.]
705,[154.]
706,[338.]
707,[248.]
708,[369.]
709,[770.]
710,[398.]
711,[470.]
712,[226.]
713,[256.]
714,[355.]
715,[148.]
716,[229.]
717,[773.]
718,[192.]
719,[329.]
720,[500.]
721,[149.]
722,[123.]
723,[709.]
724,[254.]
725,[313.]
726,[159.]
727,[613.]
728,[209.]
729,[275.]
730,[348.]
731,[407.]
732,[506.]
733,[124.]
734,[325.]
735,[532.]
736,[399.]
737,[537.]
738,[268.]
739,[546.]
740,[297.]
741,[123.]
742,[398.]
743,[324.]
744,[276.]
745,[363.]
746,[467.]
747,[627.]
748,[219.]
749,[686.]
750,[222.]
751,[125.]
752,[675.]
753,[780.]
754,[353.]
755,[454.]
756,[242.]
757,[200.]
758,[439.]
759,[330.]
760,[130.]
761,[342.]
762,[231.]
763,[329.]
764,[150.]
765,[300.]
766,[162.]
767,[358.]
768,[311.]
769,[130.]
770,[337.]
771,[352.]
772,[374.]
773,[546.]
774,[174.]
775,[177.]
776,[263.]
777,[194.]
778,[225.]
779,[560.]
780,[441.]
781,[320.]
782,[168.]
783,[277.]
784,[251.]
785,[326.]
786,[213.]
787,[125.]
788,[475.]
789,[132.]
790,[615.]
791,[199.]
792,[515.]
793,[483.]
794,[405.]
795,[553.]
796,[588.]
797,[552.]
798,[131.]
799,[478.]
800,[921.]
801,[333.]
802,[731.]
803,[644.]
804,[512.]
805,[139.]
806,[490.]
807,[362.]
808,[403.]
809,[334.]
810,[234.]
811,[168.]
812,[220.]
813,[229.]
814,[194.]
815,[955.]
816,[830.]
817,[588.]
818,[201.]
819,[700.]
820,[139.]
821,[275.]
822,[206.]
823,[864.]
824,[453.]
825,[173.]
826,[395.]
827,[196.]
828,[230.]
829,[549.]
830,[360.]
831,[509.]
832,[595.]
833,[262.]
834,[352.]
835,[438.]
836,[481.]
837,[418.]
838,[457.]
839,[361.]
840,[769.]
841,[325.]
842,[236.]
843,[364.]
844,[104.]
845,[148.]
846,[322.]
847,[402.]
848,[370.]
849,[252.]
850,[375.]
851,[365.]
852,[318.]
853,[810.]
854,[831.]
855,[477.]
856,[357.]
857,[850.]
858,[372.]
859,[865.]
860,[356.]
861,[454.]
862,[443.]
863,[289.]
864,[694.]
865,[343.]
866,[617.]
867,[367.]
868,[317.]
869,[256.]
870,[186.]
871,[567.]
872,[292.]
873,[405.]
874,[281.]
875,[265.]
876,[371.]
877,[183.]
878,[280.]
879,[382.]
880,[144.]
881,[490.]
882,[813.]
883,[440.]
884,[255.]
885,[304.]
886,[506.]
887,[291.]
888,[456.]
889,[297.]
890,[293.]
891,[448.]
892,[423.]
893,[147.]
894,[552.]
895,[756.]
896,[128.]
897,[889.]
898,[880.]
899,[335.]
900,[190.]
901,[137.]
902,[469.]
903,[309.]
904,[392.]
905,[561.]
906,[233.]
907,[720.]
908,[141.]
909,[363.]
910,[196.]
911,[339.]
912,[338.]
913,[206.]
914,[144.]
915,[536.]
916,[368.]
917,[481.]
918,[856.]
919,[514.]
920,[353.]
921,[201.]
922,[339.]
923,[132.]
924,[268.]
925,[569.]
926,[533.]
927,[122.]
928,[260.]
929,[212.]
930,[645.]
931,[547.]
932,[142.]
933,[104.]
934,[477.]
935,[189.]
936,[850.]
937,[646.]
938,[390.]
939,[152.]
940,[350.]
941,[329.]
942,[367.]
943,[435.]
944,[185.]
945,[365.]
946,[705.]
947,[240.]
948,[228.]
949,[227.]
950,[324.]
951,[152.]
952,[219.]
953,[417.]
954,[1206.]
955,[298.]
956,[130.]
957,[167.]
958,[653.]
959,[506.]
960,[186.]
961,[696.]
962,[182.]
963,[637.]
964,[378.]
965,[273.]
966,[233.]
967,[234.]
968,[337.]
969,[643.]
970,[367.]
971,[350.]
972,[418.]
973,[286.]
974,[409.]
975,[312.]
976,[159.]
977,[499.]
978,[190.]
979,[541.]
980,[238.]
981,[222.]
982,[455.]
983,[748.]
984,[308.]
985,[399.]
986,[508.]
987,[520.]
988,[298.]
989,[128.]
990,[263.]
991,[233.]
992,[154.]
993,[332.]
994,[592.]
995,[716.]
996,[468.]
997,[171.]
998,[988.]
999,[651.]
1000,[172.]
1001,[165.]
1002,[143.]
1003,[499.]
1004,[867.]
1005,[293.]
1006,[168.]
1007,[227.]
1008,[141.]
1009,[1400.]
1010,[999.]
1011,[292.]
1012,[152.]
1013,[125.]
1014,[714.]
1015,[718.]
1016,[217.]
1017,[538.]
1018,[359.]
1019,[464.]
1020,[414.]
1021,[584.]
1022,[338.]
1023,[481.]
1024,[309.]
1025,[1007.]
1026,[447.]
1027,[444.]
1028,[326.]
1029,[364.]
1030,[230.]
1031,[335.]
1032,[242.]
1033,[131.]
1034,[400.]
1035,[891.]
1036,[587.]
1037,[168.]
1038,[158.]
1039,[842.]
1040,[482.]
1041,[241.]
1042,[525.]
1043,[461.]
1044,[363.]
1045,[847.]
1046,[521.]
1047,[140.]
1048,[250.]
1049,[278.]
1050,[652.]
1051,[185.]
1052,[403.]
1053,[506.]
1054,[148.]
1055,[563.]
1056,[271.]
1057,[684.]
1058,[644.]
1059,[352.]
1060,[318.]
1061,[133.]
1062,[394.]
1063,[216.]
1064,[266.]
1065,[633.]
1066,[144.]
1067,[134.]
1068,[153.]
1069,[104.]
1070,[464.]
1071,[123.]
1072,[214.]
1073,[274.]
1074,[622.]
1075,[104.]
1076,[591.]
1077,[726.]
1078,[788.]
1079,[275.]
1080,[454.]
1081,[125.]
1082,[234.]
1083,[347.]
1084,[144.]
1085,[336.]
1086,[402.]
1087,[626.]
1088,[136.]
1089,[154.]
1090,[593.]
1091,[185.]
1092,[370.]
1093,[154.]
1094,[648.]
1095,[325.]
1096,[407.]
1097,[861.]
1098,[483.]
1099,[134.]
1100,[140.]
1101,[388.]
1102,[170.]
1103,[560.]
1104,[488.]
1105,[223.]
1106,[212.]
1107,[568.]
1108,[285.]
1109,[452.]
1110,[403.]
1111,[962.]
1112,[502.]
